filename,original_label,path,rms_std,contrast,lyric_sad,lyric_joy,SAD_SCORE,RELAXED_SCORE
162_Lewis Capaldi - Someone You Loved.wav,sad,data/raw\sad\162_Lewis Capaldi - Someone You Loved.wav,0.09663086,26.658605275365463,0.9838570449501276,0.008906868635676801,3.2473326444338286,0.743927720077735
168_One-Direction-Story-of-My-Life.wav,sad,data/raw\sad\168_One-Direction-Story-of-My-Life.wav,0.11819743,25.704047975864913,0.9485955499112606,0.023358311038464308,3.1764214439978025,0.7735249332873234
180_Billie Eilish - everything i wanted (Lyrics).wav,sad,data/raw2\sad\180_Billie Eilish - everything i wanted (Lyrics).wav,0.14485519,24.15872344551386,0.9740510679548606,0.012091063428670168,3.1668220046955593,0.8111108838293027
164_Lukas Graham - Love Someone [Official Music Video].wav,sad,data/raw\sad\164_Lukas Graham - Love Someone [Official Music Video].wav,0.08994357,25.81564360349838,0.9853214633185416,0.007837568409740925,3.0465841736910537,0.9453587019391696
157_Ed Sheeran - Perfect (Official Music Video).wav,sad,data/raw\sad\157_Ed Sheeran - Perfect (Official Music Video).wav,0.10092906,26.081822954961883,0.9178306981921196,0.047572119161486626,3.041890962066444,0.8975708073595419
151_Adele - Hello (Official Music Video).wav,sad,data/raw\sad\151_Adele - Hello (Official Music Video).wav,0.1492496,24.283897021467368,0.8620229354128242,0.02785142231732607,2.9918979047174594,0.7883651745661635
190_New West - Those Eyes (Lyrics).wav,sad,data/raw2\sad\190_New West - Those Eyes (Lyrics).wav,0.082352884,27.91908390198318,0.7935866615734994,0.05559009686112404,2.9632488168020057,0.7361506034090666
179_as the world caves in - matt maltese  lyrics.wav,sad,data/raw2\sad\179_as the world caves in - matt maltese  lyrics.wav,0.1022235,25.204501019616963,0.9493762291967869,0.018413806334137917,2.961235318236079,0.9794400253953832
200_øneheart x reidenshi - Snowfall(Lyrics).wav,sad,data/raw2\sad\200_øneheart x reidenshi - Snowfall(Lyrics).wav,0.07435662,25.822225742686783,0.9827859532088041,0.005645245313644409,2.917865054205146,1.0639897014552782
"161_Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).wav",sad,"data/raw\sad\161_Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).wav",0.06255555,26.267356369369658,0.9785325871780515,0.012743570900056511,2.894055204730982,1.0946109655800804
192_Rex orange county - happiness (lyrics).wav,sad,data/raw2\sad\192_Rex orange county - happiness (lyrics).wav,0.09172733,27.02324432779836,0.787820041179657,0.09274879097938538,2.866501514416064,0.9027791711722069
158_Ed Sheeran - Photograph (Official Music Video).wav,sad,data/raw\sad\158_Ed Sheeran - Photograph (Official Music Video).wav,0.11712986,24.246347113353625,0.9284709703642875,0.05982133187353611,2.866207110487197,1.1223052568238436
193_Rio Romeo - Nothings New (Lyrics).wav,sad,data/raw2\sad\193_Rio Romeo - Nothings New (Lyrics).wav,0.07922927,27.129776568194924,0.8176398465875536,0.019602099433541298,2.847419370062286,0.822609506807504
155_Christina Perri - A Thousand Years [Official Music Video].wav,sad,data/raw\sad\155_Christina Perri - A Thousand Years [Official Music Video].wav,0.04364905,26.73657882841906,0.9382375162094831,0.053270417265594006,2.7429641723262135,1.2513785806394888
184_James Arthur - Car's Outside (Lyrics).wav,sad,data/raw2\sad\184_James Arthur - Car's Outside (Lyrics).wav,0.07539902,24.99162429115567,0.9538431206019595,0.023272383958101273,2.718052756169261,1.2425895171651442
181_chamber of reflection  mac demarco (lyrics).wav,sad,data/raw2\sad\181_chamber of reflection  mac demarco (lyrics).wav,0.038084235,26.148219747660306,0.9803440887480974,0.012279917020350695,2.6808959098793563,1.3105066875082068
154_Bruno Mars - When I Was Your Man (Official Music Video).wav,sad,data/raw\sad\154_Bruno Mars - When I Was Your Man (Official Music Video).wav,0.086791396,26.68940791714441,0.7405816444661468,0.029859745875000954,2.669517302058206,0.8632607894273
"187_Lady Gaga, Bruno Mars - Die With A Smile (Lyrics).wav",sad,"data/raw2\sad\187_Lady Gaga, Bruno Mars - Die With A Smile (Lyrics).wav",0.077370726,25.442949931537104,0.875821192516014,0.06181303411722183,2.652455044129453,1.2312314963352817
199_The Neighbourhood - You Get Me So High (Lyrics).wav,sad,data/raw2\sad\199_The Neighbourhood - You Get Me So High (Lyrics).wav,0.113029316,24.872856190945452,0.7824102193117142,0.0711205042898655,2.642159395066133,1.068262651626532
188_liana flores - rises the moon (Lyrics).wav,sad,data/raw2\sad\188_liana flores - rises the moon (Lyrics).wav,0.03866628,25.703730975597985,0.9657235741615295,0.013584170490503311,2.575962299952911,1.3879852938022037
169_Sam-Smith-I_m-Not-The-Only-One-_Official-Music-Video_.wav,sad,data/raw\sad\169_Sam-Smith-I_m-Not-The-Only-One-_Official-Music-Video_.wav,0.122975394,24.313415181695145,0.7227590903639793,0.016004763077944517,2.4981946754851743,0.9670976956327204
173_Taylor-Swift-Back-To-December-_Lyrics_.wav,sad,data/raw\sad\173_Taylor-Swift-Back-To-December-_Lyrics_.wav,0.070543826,25.28797797030271,0.8340594816254452,0.11265027616173029,2.48360568603443,1.4254240968028251
183_Djo - End Of Beginning (Lyrics).wav,sad,data/raw2\sad\183_Djo - End Of Beginning (Lyrics).wav,0.08751895,23.79213550778873,0.8911758428439498,0.03551599569618702,2.471082201302861,1.386534847813976
170_Take-That-Patience-_Official-Video_.wav,sad,data/raw\sad\170_Take-That-Patience-_Official-Video_.wav,0.101721466,23.519851727774814,0.8239734746748582,0.013455346692353487,2.396693338480817,1.2729351243332674
196_Telephones - VACATIONS  [LYRICS].wav,sad,data/raw2\sad\196_Telephones - VACATIONS  [LYRICS].wav,0.08454694,25.353166974170893,0.6780325174331665,0.21256063878536224,2.283548787370104,1.521886236776856
71_THANK YOU 4 LOVIN' ME -  Paul Partohap (lirik video) - AnyTime Music.wav,relaxed,data/raw\relaxed\71_THANK YOU 4 LOVIN' ME -  Paul Partohap (lirik video) - AnyTime Music.wav,0.055121183,27.72643775971854,0.03553691296838224,0.9046446327120066,1.1387123183002932,2.858314685757909
76_beabadoobee-Coffee_.wav,relaxed,data/raw2\relaxed\76_beabadoobee-Coffee_.wav,0.06551135,25.39014799818333,0.15934663638472557,0.7469797506928444,1.0620127733990898,2.8445740548700913
79_Forest-Blakk If You Love Her.wav,relaxed,data/raw2\relaxed\79_Forest-Blakk If You Love Her.wav,0.11084861,26.360238536107403,0.05379661056213081,0.9109407551586628,1.3785689000887473,2.6702019930704894
55_Daniel Caesar - Always (Lyrics) - 7clouds Rock.wav,relaxed,data/raw\relaxed\55_Daniel Caesar - Always (Lyrics) - 7clouds Rock.wav,0.12562543,25.109376270095456,0.15797568066045642,0.6845105737447739,1.4897751367367804,2.2763777249681256
99_The 1975 - About You.wav,relaxed,data/raw2\relaxed\99_The 1975 - About You.wav,0.08662969,22.94122424169866,0.3602548576891422,0.3673509657382965,1.2109382699903883,2.2762536231853048
58_Frank Ocean - Godspeed (Lyrics) - Lyricz.wav,relaxed,data/raw\relaxed\58_Frank Ocean - Godspeed (Lyrics) - Lyricz.wav,0.07393042,26.403183356663725,0.47312239184975624,0.4646970257163048,1.9608453845194835,1.9748776545668143
74_wave to earth - bad (Lyrics) - Alternate.wav,relaxed,data/raw\relaxed\74_wave to earth - bad (Lyrics) - Alternate.wav,0.0733838,24.822198348556572,0.2487326302798465,0.32708578184247017,1.2091010787551217,1.9580725428948909
57_Faye Webster Kingston (Lyrics) - Worldly Hits.wav,relaxed,data/raw\relaxed\57_Faye Webster Kingston (Lyrics) - Worldly Hits.wav,0.09789488,25.160345973452483,0.5387298513669521,0.4298704620450735,2.0669370692559705,1.9281704761942908
84_Lana Del Rey - Radio.wav,relaxed,data/raw2\relaxed\84_Lana Del Rey - Radio.wav,0.09478301,23.326355769782637,0.07899505458772182,0.22081072628498077,0.7613843698694572,1.819624940261689
75_wave to earth - love. (Lyrics) [HAN_ROM_ENG] - hazelnut latte.wav,relaxed,data/raw\relaxed\75_wave to earth - love. (Lyrics) [HAN_ROM_ENG] - hazelnut latte.wav,0.055271443,25.619887360508,0.5100137963891029,0.2133093662559986,1.7484975716022588,1.7100615659986411
92_Shawn Mendes - Mercy (Official Music Video).wav,relaxed,data/raw2\relaxed\92_Shawn Mendes - Mercy (Official Music Video).wav,0.0647751,24.090749292713575,0.5016196817159653,0.044201639480888844,1.5344051518701967,1.5342772447081707
53_Bôa - Duvet (Lyrics) - Taj Tracks.wav,relaxed,data/raw\relaxed\53_Bôa - Duvet (Lyrics) - Taj Tracks.wav,0.052385285,24.890195319769585,0.9044088972732425,0.059524690732359886,2.4134057355498126,1.5245407762304952
59_I Thought I Saw Your Face Today - She And Him (Lyrics) - Cassiopeia.wav,relaxed,data/raw\relaxed\59_I Thought I Saw Your Face Today - She And Him (Lyrics) - Cassiopeia.wav,0.06284332,25.68049561523708,0.3583262744359672,0.08601660840213299,1.5052010620274663,1.358343298077604
89_NIKI - You'll Be in My Heart ft. Phil Collins.wav,relaxed,data/raw2\relaxed\89_NIKI - You'll Be in My Heart ft. Phil Collins.wav,0.07245355,24.466114258957663,0.964118143543601,0.021495788358151913,2.622106997015571,1.3559359825615358
63_JVKE - her (official lyric video) - JVKE.wav,relaxed,data/raw\relaxed\63_JVKE - her (official lyric video) - JVKE.wav,0.14844178,25.07769839028845,0.5620183986611664,0.34531922824680805,2.5046809056735633,1.3525080637077975
52_Attack On Titan OST- Call of Silence (Lyrics) - ThatOnePotato.wav,relaxed,data/raw\relaxed\52_Attack On Titan OST- Call of Silence (Lyrics) - ThatOnePotato.wav,0.055987727,25.605036514150484,0.8790732035413384,0.04494702257215977,2.517124980723958,1.336159402250056
54_Clairo - Bags (Lyrics) - The Tiny Majority.wav,relaxed,data/raw\relaxed\54_Clairo - Bags (Lyrics) - The Tiny Majority.wav,0.10819715,23.46569940502793,0.13956871628761292,0.05585304321721196,1.0191406323148458,1.3241939243760408
62_innocence- HildirSvensson & Six dior. (Lyrics) - yunooyle.wav,relaxed,data/raw\relaxed\62_innocence- HildirSvensson & Six dior. (Lyrics) - yunooyle.wav,0.062295943,26.015259800770014,0.3155158832669258,0.09088787995278835,1.471715882335251,1.3137550445447512
97_Taylor Swift - Snow On The Beach ft. Lana Del Rey.wav,relaxed,data/raw2\relaxed\97_Taylor Swift - Snow On The Beach ft. Lana Del Rey.wav,0.056532566,25.39276967339621,0.8812722265720367,0.007649987004697323,2.488192164320126,1.2875059054695803
61_d4vd - Romantic Homicide (Lyrics) - 7clouds.wav,relaxed,data/raw\relaxed\61_d4vd - Romantic Homicide (Lyrics) - 7clouds.wav,0.06535724,25.494388705422235,0.7554967403411865,0.04450249671936035,2.315975836057445,1.2799920521770891
67_Multo — Cup of Joe (Lyrics) - cezca.wav,relaxed,data/raw\relaxed\67_Multo — Cup of Joe (Lyrics) - cezca.wav,0.09994064,23.850007611947817,0.45551759749650955,0.022943568881601095,1.677030100811161,1.2492002011256662
"73_Tyler, The Creator - Answer (Lyrics) - Rap City.wav",relaxed,"data/raw\relaxed\73_Tyler, The Creator - Answer (Lyrics) - Rap City.wav",0.10043141,24.726593743306967,0.614346832036972,0.09544835425913334,2.1667277222928263,1.2486594825259043
96_Taylor Swift - Eldest Daughter.wav,relaxed,data/raw2\relaxed\96_Taylor Swift - Eldest Daughter.wav,0.04710746,26.153165187326774,0.1821323186159134,0.011080581694841385,1.098179075823988,1.2348334736693076
65_Let Down - Radiohead - Lyrics - Pyroarp.wav,relaxed,data/raw\relaxed\65_Let Down - Radiohead - Lyrics - Pyroarp.wav,0.061904564,25.642125156235803,0.8898653388023376,0.014756297692656517,2.5934359669403,1.2157388412878125
72_The Walters - I Love You So (Lyrics) - Vibe Music.wav,relaxed,data/raw\relaxed\72_The Walters - I Love You So (Lyrics) - Vibe Music.wav,0.094329536,25.3201825715879,0.8690779082244262,0.09541884623467922,2.752178534635513,1.1915380305034504
